ID,cod prov 1,codint_noborrar,descripcion
2587,,58,"AIRE PUR ANTIHUMEDAD MAX APARATO X 250 GR ""LIMON"" (12UXB) **"
2593,,78,"AIRE PUR ANTIHUMEDAD MINI + DEO X 75 GR ""PINO"""
,,79,"AIRE PUR ANTIHUMEDAD MINI ANTIHU+ANTIPOL X 75 GR ""CEDRO"""
2593,,77,"AIRE PUR ANTIHUMEDAD MINI X 75 GR ""LIMON"" (24UXB) **"
,,73,"AIRE PUR ANTIHUMEDAD PERCHA + DEO X 250 GR ""FLORAL"""
,,72,"AIRE PUR ANTIHUMEDAD PERCHA + DEO X 250 GR ""LAVANDA"""
,,3422,AIRE PUR ANTIHUMEDAD REP TABLET 2 X 1 X 75 GR
2600,,61,"AIRE PUR ANTIHUMEDAD REP UNIV + ANTIPOLILLA X 250 GR ""CEDRO"""
2600,,62,"AIRE PUR ANTIHUMEDAD REP UNIV + DEO. X 250 GR ""LAVANDA"""
2600,,63,"AIRE PUR ANTIHUMEDAD REP UNIV + DEO. X 250 GR ""LIMON"""
2600,,64,"AIRE PUR ANTIHUMEDAD REP UNIV + DEO. X 250 GR ""PINO"""
,,3403,AIRE PUR ANTIHUMEDAD REP UNIV 250GR - 3X2 UNID (12UXB) **
2591,,66,"AIRE PUR ANTIHUMEDAD TABLET X 75 GR ""LAVANDA"""
2591,,3630,"AIRE PUR ANTIHUMEDAD TABLET X 75 GRS ""VAINILLA"""
,,3569,AIRE PUR ANTIHUMEDAD TITAN X 1 KG.
2597,,3344,AIRE PUR DISCO ANTIPOLILLA 12GRS
10387,,3815,AIRE PUR ESPACIOS PEQUEÑOS PETIT FRAGANCE X 4 UNID (48UXB)**
2602,,3404,AIRE PUR QUITOLOR ELIMINADOR OLORES HELADERA X 25 GRS (36UXB) **
,,3145,AIRE PUR QUITOLOR ELIMINADOR OLORES PARA HELADERA X 100 GR (24UXB)**
,,3567,AIRE PUR QUITOLOR PERCHA P/HELADERAS Y FREEZER 11 GRS
11399,LD051.0001,1373,ALA DETERGENTE LAVAVAJILLA ALOE VERA X 750CC (15UXB)**
,,4474,ALA DETERGENTE LAVAVAJILLA BLANCO X 750CC (15UXB)**
11401,LD052.0008,1378,ALA DETERGENTE LAVAVAJILLA GLICERINA BIDON X 4 LTS **
11406,LD051.0010,1374,ALA DETERGENTE LAVAVAJILLA GLICERINA ROSA X 750 CC (15UXB) **
10915,,3756,ALA JABON EN PAN 200 GRS **
10917,LJ001.0003,4107,ALA JABON EN PAN 200 GRS X 2 UNID (42UXB) **
,,3160,ALA JABON EN POLVO REGULAR (LAVADO A MANO) X 800GR (24UXB) **
10945,LD065.0018,1367,ALA MATIC JABON EN POLVO AZUL X 3 KG (6UXB)**
2811,LD064.0022,4065,"ALA MATIC JABON EN POLVO B/E ""PERLAS"" 800 GRS (24UXB) **"
10947,LD065.0035,1369,ALA MATIC JABON EN POLVO INDUSTRIAL X 10 KGS **
10946,LD065.0030,1368,ALA MATIC JABON EN POLVO X 5 KG (4UXB)**
10953,,4426,ALA MATIC JABON LIQUIDO DOY PACK  3 LTS C/ VIVERE **
10957,LD070.0040,4018,ALA MATIC JABON LIQUIDO DOY PACK 3 LTS (4XB) **
10960,LD070.0037,4031,ALA MATIC JABON LIQUIDO DOY PACK 800ML (12XB) **
10963,LD070.0035,4436,ALA MATIC JABON LIQUIDO ROPA BIDON X 5 LTS (4UXB) **
10965,,4439,ALA MATIC JABON LIQUIDO TOQUE DE VIVERE DOY PACK 800ML +
,,4337,ALA MATIC JABON ROPA P/ DILUIR X 500CC
10967,,1366,ALA MATIC MAÑANAS DE SOL JABON EN POLVO AZUL X 800 GR **
,,3491,ALA QUITAMANCHAS D/P 400 ML LAVARROPAS
,,3913,ALA QUITAMANCHAS D/P 400 ML PRELAVADO
,,3862,ALFOMBRA 45X60 CM CON BASE REFORZADA
,,4322,ALUSE BOLSA HIGIENICA PARA PERROS 20 UNID **
11349,,3554,ALUSE BOLSA PARA HORNO 35X45 CM 10 UNID **
11351,,3284,ALUSE BOLSAS P/FREEZER 20 X 30 CM 20 U **
11355,,3289,ALUSE FILM 100MTS X 30CM **
11357,,3487,ALUSE FILM 200MTS X 38CM **
11358,,3286,ALUSE FILM 20MTS X 30CM **
11359,,3288,ALUSE FILM ADHERENTE 100MTS X 38CM **
11360,,3503,ALUSE FILM ADHERENTE 300MTS X 38CM **
11353,,2453,ALUSE LAMINAS SEPARADORES P/FREEZER 20X25CM X 100 U **
11361,,3291,ALUSE PAPEL ALUMINIO 25MTS X 38CM **
11363,,3292,ALUSE PAPEL ALUMINIO 50MTS X 38CM **
11364,,3293,ALUSE PAPEL ALUMINIO 7MTS X 28CM (25UXB)**
,,3290,ALUSE PROTECTOR DE HORNALLAS X 12 U **
10683,,2802,ALVAREZ CEPILLO PARRILLERO GUINEA BASE MADERA **
,,3058,AMBO UNISEX ESCOTE EN V
,,2954,ANILINA COLIBRI 20 GRS **
11621,,4372,ANTEOJOS LENTES PROTECTORES ACRILICO
,,2955,ANTORCHITA PARA ENCENDER CALEFON / HORNO **
,,3754,ARIEL JABON LIQUIDO BIDON 5 LITROS
,,1397,ARIEL JABON LIQUIDO BOTELLA X 1500 CC
,,1396,ARIEL JABON LIQUIDO BOTELLA X 800 ML
,,3729,ARIEL JABON LIQUIDO CON SUAVIZANTE BOTELLA 800 CC
,,3489,ARIEL JABON LIQUIDO CON SUAVIZANTE BOTELLA X 3 LTS.
10972,,4363,ARIEL JABON LIQUIDO DOY PACK 2.7 LTS
10974,,4416,ARIEL JABON LIQUIDO DOY PACK 800CC **
8467,LD072.0004,1398,ARIEL JABON LIQUIDO ROPA BOTELLA X 3 LT (4UXB) **
,,3490,ARIEL JABON LIQUIDO ROPA CON SUAVIZANTE SACHET X 3 LTS.
,,1401,ARIEL JABON LIQUIDO ROPA SACHET X 3 LTS.
,,3813,ARIEL JABON LIQUIDO SACHET X 1400CC
9436,,4444,"AROMASS REPUESTO AROMATIZADOR X 185GRS ""PATIO"""
9437,,4443,"AROMASS REPUESTO AROMATIZADOR X 185GRS ""PAULA"""
,,3986,AROMASS RTO. X 185GRS BLACK LABEL
,,3983,AROMASS RTO. X 185GRS CHAMPION
,,3987,AROMASS RTO. X 185GRS CHANEL
,,3988,AROMASS RTO. X 185GRS CHER
,,3980,AROMASS RTO. X 185GRS FLOW
,,3981,AROMASS RTO. X 185GRS KEN
,,3982,AROMASS RTO. X 185GRS LADY
,,3985,AROMASS RTO. X 185GRS LALI
10471,,3989,AROMASS RTO. X 185GRS MILLION
,,3978,AROMASS RTO. X 185GRS RICCI
10475,,3984,AROMASS RTO. X 185GRS TASCANI
10473,,3979,AROMASS RTO. X 185GRS VAINILLA
,,2997,AROMATIZADOR ANALOGICO COMUN
,,2704,ARTICULOS DE LIMPIEZA VARIOS
10478,,4412,ASEPLUS SANITIZANTE ALCOHOL 70º AEROSOL X 240ML
10481,,4411,ASEPLUS SANITIZANTE ALCOHOL 70º SPRAY X 200ML
,,2976,AUTOPOLISH CERA 450 ML
,,2989,AUTOPOLISH LUSTRE INTENSO 450 ML
2581,LD005.0007,4414,AYUDIN AERO DESINFECTANTE X 332CC **
,,1410,AYUDIN AEROSOL DESINFECT BEBE X 332 CC
,,1411,AYUDIN AEROSOL DESINFECT FRESCURA X 332 CC
,,1409,AYUDIN AEROSOL DESINFECT ORIG X 332 CC
10357,LL071.0002,1420,AYUDIN ANTIHONGOS DOYPACK X 500 CC **
11107,LL070.0001,1418,AYUDIN ANTIHONGOS GATILLO X 500 CC **
11109,LL080.0004,1425,AYUDIN BAÑO DOYPACK X 500 CC
,,1423,AYUDIN BAÑO MAX GATILLO X 500 CC
11114,LD032.0006,3125,AYUDIN CANASTA LIMPIA INODOROS 20 GRS. (36UXB)**
11379,LL067.0006,1416,AYUDIN COCINA/ANTIG DOYPACK X 900 CC
11382,LL066.0003,1414,AYUDIN COCINA/ANTIG GATILLO X 500 CC
,,4415,AYUDIN ESPONJA METALICA DOBLE USO **
,,1428,AYUDIN LAVANDINA DOBLE RENDIMIENTO X 1 LT
,,1429,AYUDIN LAVANDINA DOBLE RENDIMIENTO X 2 LT
11054,,1444,AYUDIN LAVANDINA EN  GEL CITRUS X 700 ML **
11056,,4448,AYUDIN LAVANDINA EN GEL FLORAL 700 ML **
11058,LL044.0015,4449,AYUDIN LAVANDINA EN GEL LAVANDA X 700 ML **
2579,LL044.0020,1443,AYUDIN LAVANDINA EN GEL ORIGINAL X 700 ML (15UXB)**
11061,LL038.0024,4456,AYUDIN LAVANDINA LIQUIDA A/SPLASH X1LT **
11064,LL038.0035,3170,AYUDIN LAVANDINA MAXIMA PUREZA/CLASICA X 1 LT (15UXB) **
2574,,3104,AYUDIN LAVANDINA MAXIMA PUREZA/CLASICA X 2 LTS M**
,,3811,AYUDIN LAVANDINA MULTI ORIGINAL X 1 LT ** (15UXB)
,,4531,AYUDIN LAVANDINA MULTI ORIGINAL X 2 LTS ** (8UXB)
11072,,3812,AYUDIN LAVANDINA PUREZA GLACIAR TRIPLE PODER  X 2 LTS (8UXB) **
11068,LL040.0010,2967,"AYUDIN LAVANDINA ROPA BLANCA ""BLANCOS INTENSOS"" X 1 LT **"
11070,LL040.0012,2968,AYUDIN LAVANDINA ROPA BLANCA X 2 LT **
11074,LL038.0050,4421,"AYUDIN LAVANDINA TRIPLE ACCION X 1 LITRO """
11076,,1430,AYUDIN LAVANDINA X 4 LTS BIDON (3UXB) M**
11078,LP080.0006,1450,AYUDIN QUITAMANCHA COLORES VIVOS SIN LAVANDINA X 700CC   **
11585,,4388,AYUDIN QUITAMANCHAS BLANCO SUPREMO S/LAVANDINA 1 LT
11588,LP080.0007,4578,AYUDIN QUITAMANCHAS ROPA COLOR 1500 ML **
11590,,4485,AYUDIN QUITAMANCHAS ROPA COLOR DOY PACK 400 ML
11592,,4395,AYUDIN QUITAMANCHAS ROPA COLOR DOY PACK 650 CC
,,1451,AYUDIN ROPA COLOR LAVANDINA X 2 L **
,,1448,AYUDIN ROPA COLOR LAVANDINA X 750 ML
10591,LT010.0001,1452,"AYUDIN TOALLAS DESINFECTANTE ""FRESCA"" TUBO X 35UNID M**"
10593,LT010.0002,4588,"AYUDIN TOALLAS DESINFECTANTE ""LIMON"" TUBO X 35UNID M**"
10594,LT010.0006,1453,"AYUDIN TOALLAS DESINFECTANTES REPUESTO ""FRESCA"" X 35 UNID M**"
10597,LT010.0007,3109,"AYUDIN TOALLAS DESINFECTANTES REPUESTO ""LIMON"" X 35 UD M**"
,,4380,AYUDIN TOALLITAS REPUESTO LIMON  X 24 UNID
,,2894,BALDE OVAL CON ESCURRIDOR 16 LTS COLORES **
,,4600,"BANDEJA  EXPANDIDO TELGOPOR ""615"" X50 UNID M**"
10362,,4601,"BANDEJA  EXPANDIDO TELGOPOR ""618"" X10 UNID M**"
11365,,4606,BANDEJA DE ALUMINO C/TAPA ALUMINIO R3 13X18X4CM X 10U **
,,4607,BANDEJA DE ALUMINO C/TAPA ALUMINIO R3 13X18X4CM X 50U M**
11368,,4608,BANDEJA DE ALUMINO C/TAPA ALUMINIO R5 16X24X4CM X 10U **
,,4609,BANDEJA DE ALUMINO C/TAPA ALUMINIO R5 16X24X4CM X 50U M**
10350,,4572,BANDEJA DESCARTABLE NRO 103 X  50 UNID (600UXB)**
10353,,4583,BANDEJA DESCARTABLE NRO 105 X  50 UNID RECTANGULAR (800UXB)**
10360,,4599,"BANDEJA EXPANDIDO TELGOPOR ""615"" X10 UNID M**"
,,4602,"BANDEJA EXPANDIDO TELGOPOR ""618"" X50 UNID M**"
10363,,4603,"BANDEJA EXPANDIDO TELGOPOR ""625"" X10 UNID M**"
,,4604,"BANDEJA EXPANDIDO TELGOPOR ""625"" X50 UNID M**"
,,3930,BANDEJA K102
,,3931,BANDEJA K103
,,3932,BANDEJA OVAL PVC X100U N°105
10619,,4453,BARBIJO DESCARTABLE HLB BLANCO (50UXB) **
,,1591,BARREFONDO 8 RUEDAS FIJAS
,,3675,BARREFONDO MEDIA LUNA
,,4455,BIALCOHOL ALCOHOL ELITICO 70 %  1 LTS
,,4441,BIALCOHOL ALCOHOL EN GEL X 250 ML
,,4387,BIC CHISPERO HANDY ENCENDEDOR
11682,,4614,BIC MINI ENCENDEDOR (12UXB) **
,,3020,BIDON ENVASE PVC 10 LTS
,,2885,BIDON ENVASE PVC 20 LTS
,,2831,BIDON ENVASE PVC 5 LTS
3391,,3306,BIOFAX CERA PISOS MADERA/CERAMICA/INT./EXT 1 LT
11571,,2993,BIOKITOL ATRAPA POLVO BIDON 5 LTS **
2607,,2687,BIOKITOL ATRAPA POLVO X 1 LT **
11570,,3021,BIOKITOL ATRAPA POLVO X 500 ML **
,,2994,BIOKITOL RENOVADOR MADERA 250 ML **
2826,LC034.0003,1480,BLEM CERA ACRILICA BRILLO INTENSO X 800CC **
10703,LC031.0025,1473,BLEM CERA AUTOBRILLO INCOLORA X 800 CC (12UXB) **
3600,,4025,BLEM CERA AUTOBRILLO INCOLORO X 5 LTS (4UXB) M**
10707,,4472,"BLEM CERA AUTOBRILLO LIQUIDA INCOLORA ""CERAMICOS"" 800ML **"
10711,,4424,BLEM CERA AUTOBRILLO X 800 CC FLORAL
10712,LC031.0029,1477,BLEM CERA AUTOBRILLO X 800 CC NEGRA **
10713,LC031.0031,1479,BLEM CERA AUTOBRILLO X 800 CC ROJO **
2513,LC025.0005,1483,BLEM CERA PARA MADERA X 1LT ROBLE CLARO **
2523,LC025.0006,1484,BLEM CERA PARA MADERA X 1LT ROBLE OSCURO **
10721,LC025.0004,1485,BLEM CERA PARA MADERA X 1LT UNIVERSAL **
2511,LL087.0004,1488,BLEM ESPUMA SUPERFICIES DELICADAS X 235 CC
2515,LL063.0005,1487,BLEM LIMPIADOR PISOS PLASTIFICADOS ALMENDRA X 800 CC **
,,1493,BLEM LUSTRA MUEBLES AEROSOL X 360 CC (12UXB)**
11479,LL108.0020,1492,BLEM LUSTRA MUEBLES AEROSOL X 360 CC NARANJA (12UXB) **
2509,LL108.0016,1490,BLEM LUSTRA MUEBLES AEROSOL X 360 CC ORIGINAL **
2529,LL109.0002,3282,BLEM LUSTRAMUEBLES CREMA 200 CM3
11483,LL109.0005,3653,BLEM LUSTRAMUEBLES CREMA LAVANDA 200 CM3
,,2675,BOBINA INDUSTRIAL GENERICA 400 MTS X 2 U - D/H - M+**
9989,,3492,BOCHIN ZAPATILLA CON PUNTERA PLASTICA / ANTIDESLIZANTE **
9500,,4307,BOLSA ARRANQUE 15X20 CM ROLAND (12UXB) **
9502,,4488,BOLSA ARRANQUE 20X25 CM (12UXB) ROLAND M**
9493,,2978,BOLSA ARRANQUE 20X30 CM (12UXB) ROLAND M**
9498,,4129,BOLSA ARRANQUE 25X35 CM (12UXB) ROLAND M**
9496,,3236,BOLSA ARRANQUE 30X40 CM (12UXB) **
,,4081,BOLSA ARRANQUE 40X50 CM
,,4082,BOLSA ARRANQUE 50X60 CM
10628,,4596,BOLSA ARRANQUE 50X70 CM (6UXB) ROLAND M**
10629,,4597,BOLSA ARRANQUE 60X90 CM (6UXB) ROLAND M**
9508,,3391,BOLSA CAMISETA 30X40 CM (20UXB)  **
9511,,3392,BOLSA CAMISETA 40X50 CM (20UXB)**
10632,,4598,BOLSA CAMISETA 50X50 CM (20UXB) M**
9514,,3731,BOLSA CAMISETA 50X60 CM (20UXB)**
10633,,4582,BOLSA CAMISETA 50X70 CM (10UXB)**
9516,,4083,BOLSA CAMISETA 60X80 CM (5UXB) ROLAND M**
,,4523,BOLSA CONSORCIO CHICA 60X90 CM 50UNID (50UXB) CC+
3507,,3051,BOLSA CONSORCIO NEGRA 100X120X 50U**
,,2697,BOLSA CONSORCIO NEGRA 60X100CM X 50UNID **
9504,,2838,BOLSA CONSORCIO NEGRA 60X90CM X 10 UNID *
10637,,3808,BOLSA CONSORCIO NEGRA 60X90X50 UND*
3509,,2729,BOLSA CONSORCIO NEGRA 70X100X 50U*
9505,,2913,BOLSA CONSORCIO NEGRA 80X110X 10U*
,,4581,BOLSA CONSORCIO NEGRA 80X110X 50 ** 50 MIC
3385,,2706,BOLSA CONSORCIO NEGRA 80X110X 50U**
3390,,2662,BOLSA CONSORCIO NEGRA 90X120X 50U**
9506,,2944,BOLSA CONSORCIO VERDE 60X100X 50U
10638,,3950,BOLSA CONSORCIO VERDE 60X90X 50U
10642,,2727,BOLSA CONSORCIO VERDE 80X110X 50U**
10643,,2734,BOLSA CONSORCIO VERDE 90X120X 50U**
10647,,3126,BOLSA DE RESIDUO VERDE 50X70X 30U
11369,,4611,BOLSA PAPEL BEIGE (IDELIVERY) 20X11X30CM 50UNID M**
11371,,4612,BOLSA PAPEL BEIGE (IDELIVERY) 26X18X38CM 50UNID M**
,,3032,BOLSA PARA ROPA CRISTAL 60X100CM
,,2824,BOLSA RESIDUO NEGRA 50X70 X 10U
3503,,2909,BOLSA RESIDUOS NEGRA 45X60X 30U**
3505,,2815,BOLSA RESIDUOS NEGRA 50X70CM X 30U**
,,2701,BOLSA SANITARIA ROJA 45X60X 50U
,,3127,BOLSA SANITARIA ROJA 60X100X 50U
,,2860,BOLSA SANITARIA ROJA 60X90X 50U
10651,,3128,BOLSA SANITARIA ROJA 80X110CM X 50UNID **
10650,,3517,BOLSAS REFORZADAS P/ ESCOMBROS 45X60 CM X 10 UNID
10654,,3377,BOLZIP BOLSA C/CIERRE FACIL HERMETICA 18X20CM X 6 U MEDIANA (48UXB)**
10657,,3378,BOLZIP BOLSA C/CIERRE FACIL HERMETICA 27X28CM X 4 U GRANDE (48UXB)**
,,3376,BOLZIP BOLSA C/CIERRE HERMETICA 17X15CM X 10 U CHICA
,,3556,BOLZIP BOLSA X 2 HERMETICA SELLADO AL VACIO + BOMBA MEDIANA
,,3560,BOLZIP BOLSAS PARA HIELO X 10 UNID
,,3689,BOLZIP BOLSAS PARA HORNO X 8 UNID - GRANDES
,,3572,BOLZIP COMPRESSOR DE VIAJE X 1 UNID
,,3557,BOLZIP COMPRESSOR X 1 UNID EXTRA GRANDE
,,3568,BOLZIP COMPRESSOR X 1 UNID GRANDE
,,3558,BOLZIP COMPRESSOR X 1 UNID MEDIANA
,,3805,BOLZIP DOBLE CIERRE HERMETICA 17X15CM CHICAS 10 UNI
,,3806,BOLZIP DOBLE CIERRE HERMETICA 18X20CM MEDIANAS 8 UNI
,,3807,BOLZIP DOBLE CIERRE HERMETICA 27X28CM GRANDES 4 UNI
,,3690,BOLZIP SEPARADORES FREEZER Y HORNO X 25 UNID
10907,,4555,BONUX JABON EN PAN 200GRS
,,4378,BONUX PAÑO AMARILLO DE COCINA X 3UNID
10368,,4615,BOTIQUIN MADERA 32 ELEMENTOS **
3118,,3933,BOTIQUIN PLASTICO 10 ELEMENTOS
,,3747,BOTIQUIN REPOSICION 30 ELEMENTOS
11533,,3416,BOYA DOSIFICADORA SATELITE CHICA - 50 GR **
11534,,3453,BOYA DOSIFICADORA SATELITE GRANDE - 200 GR. **
,,3649,BOYA ECONOMICA - 200 GRS.
,,1501,BRASSO BRILLAMETAL 3EN1 POMO 70GR
,,3281,BRASSO BRILLAMETAL LIQUIDO 200 ML
,,3810,BRASSO LIQUIDO 504 ML
,,3769,BROOMY ESPONJA ANATOMICA PARA BAÑO
,,3860,BUZO POLAR MEDIO CIERRE TALLE 1-2-3-4-5
,,4413,CABO MADERA 1.20
10661,,3066,CABO MADERA 1.20 MT C/ROSCA **
10663,,2699,CABO MADERA 1.5MTS C/ROSCA (25UXB) M**
10664,,2733,CABO MADERA 2 MTS C/ROSCA  **
,,3027,CALIFORNIA SCENTS GEL 157 GRS
,,3026,CALIFORNIA SCENTS LATA PERFUME 42 GRS
,,1512,CAMELLITO ALA MANO SACHET (AMARILLO) X 450 ML
,,1511,CAMELLITO ALA MANO SACHET X 120 ML
2821,,1515,CAMELLITO ALA MATIC SACHET ( ROSA ) X 450 ML
,,1594,CAÑO TELESCOPICO X 3.6 M
10919,,4376,CARMEL JABON DE TOCADOR X 3 UNIDADES **
,,4264,CAUCHET DESTAPACAÑERIAS 1 LT **
,,3065,CEPILLO UÑAS PLASTICO X 2 UNID **
9815,LL108.0029,1503,CERAMICOL AEROSOL LUSTRA MUEBLES X 360 CC **
9823,,4433,CERAMICOL AEROSOL LUSTRA MUEBLES X 360 CC NARANJA **
9817,LC031.0058,1527,CERAMICOL CERA AUTOBRILLO  X 800 CC INCOLORO **
9819,LC031.0060,1528,CERAMICOL CERA AUTOBRILLO  X 800 CC NEGRO **
9821,LC031.0062,1529,CERAMICOL CERA AUTOBRILLO X 800 CC ROJO **
,,3999,CESTO 81 CM ALTO 72 LTS ROJO C/ TAPA VAIVEN
,,2925,CESTO CONSORCIO VERDE 106 LTS C/TAPA REDONDA
,,2957,CESTO CONSORCIO VERDE 68 LTS C/TAPA REDONDA
,,3192,"CESTO CUADRADO TAPA VAIVEN ""ROJO"" 23 LTS"
,,3993,CESTO REDONDO 15 LTS TAPA LISA **
,,3645,CESTO REDONDO CON TAPA 125 LTS
,,2853,CESTO REDONDO VERDE 68 LTS - 1° CALIDAD
,,3114,CESTO REDONDO X 80 LTS 1 CALIDAD C/TAPA
,,2871,CESTO RESIDUO CONSORCIO NEGRO REDONDO TAPA LISA 88 LTS (3071)
,,3092,CESTO ROPA CALADO PVC X 70 LTS C/TAPA
,,2702,CESTO VERDE 68LTS CON TAPA VAIVEN
,,2866,CHAQUETA DAMA CUELLO MAO
,,2930,CHAQUETA Y PANTALON DAMA C/SOLAPA Y BROCHES QUIN
,,3482,CHOMBA PIQUE LISA TALLE 1 AL 5
2507,LD054.0020,4539,"CIF ACTIVE GEL 300 ML ""CITRICO"" (12UXB)**"
11410,LD054.0017,1533,"CIF ACTIVE GEL 300 ML ""LIMON"" (12UXB)**"
11412,LD054.0034,3651,"CIF ACTIVE GEL 500 ML ""LIMON"" (12UXB) **"
11413,LD054.0055,3137,"CIF ACTIVE GEL 900ML ""LIMON"" (12UXB) **"
,,3992,CIF ACTIVE GEL LIMON VERDE 900 ML
,,3828,CIF ANTIBACTERIAL GATILLO
11384,LL068.0004,1552,CIF ANTIGRASA BIDON X 5 L M**
11386,LL067.0011,1550,CIF ANTIGRASA BIODEGRADABLE DOY PACK X 450 ML **
2719,LL066.0008,1553,CIF ANTIGRASA COCINA BIODEGRADABLE GATILLO X 500 ML **
11388,LL066.0008,1549,CIF ANTIGRASA GATILLO X 500 ML (12UXB) **
,,4422,CIF BAÑO BIODEGRADABLE GATILLO X500CC **
,,1560,CIF BAÑO DOYPACK X 450 CC
2722,LL079.0007,1559,CIF BAÑO GATILLO X 500 CC
,,1563,CIF BAÑO POWER CREAM DOYPACK X 450 CC  -
2731,,1562,CIF BAÑO POWER CREAM GATILLO X 500 CC
11484,,4326,CIF BRILLO ANTIPOLVO DOY PACK  380CC M**
11487,LL108.0034,4269,CIF BRILLO ANTIPOLVO GATILLO 400ML M**
,,1554,CIF COCINA POWER DOYPACK X 450 ML
11099,LL048.0011,4379,CIF CREMA C/LAVANDINA 375 GRS
2713,LL046.0012,1541,CIF CREMA C/LIMON X 750 GR
10452,LL048.0011,1539,CIF CREMA ORIGINAL X 750 GR (12UXB) **
,,1543,CIF CREMA ULTRA BLANCO C/LAVANDINA X 750 GR (12UXB) **
11101,LL050.0005,1540,CIF CREMA X 3 KG
11209,LL050.0010,1545,CIF GEL C/LAVANDINA BIDON X 2 LT **
11105,LL049.0007,1544,CIF GEL C/LAVANDINA X 500 ML (12UXB)**
11247,LL063.0011,4389,CIF LIMPIADOR PISOS PLASTIFICADOS DOY PACK 450 ML (15UXB)**
11576,LL063.0014,1558,CIF LIMPIADOR PISOS PLASTIFICADOS X 750 CC (12UXB) **
,,1557,CIF OXY-GEL OCEAN X 2 L
,,1556,CIF OXY-GEL OCEAN X 750 ML
,,1555,CIF PISOS ANTIBACTERIAL X 750 ML
11211,LL077.0003,1568,CIF VIDRIOS / MULTIUSO BIDON X 5 LTS M**
11215,LL076.0008,1566,CIF VIDRIOS / MULTIUSO DOY PACK X 450 ML (15UXB) **
11218,LL075.0007,1564,CIF VIDRIOS / MULTIUSO GATILLO X 500 ML (12UXB) **
,,2830,CIF VIDRIOS REPUESTO 500 ML BOT.
,,1571,CIGOTHRINA SACHETS INSECTICIDA X 15CC
,,3772,CINCO TES FRANELA 50X60 CM COD:1030
,,3727,CINCO TES MICROFIBRA AUTOS PISO 48X62 COD 1106
,,3906,CINCO TES REJILLA DOBLE PROFESIONAL 46X63 ART 1067
3107,,110,CINCO TES TRAPO DE PISO BLANCO CONSORCIO 70X65CM (108) M**
,,111,CINCO TES TRAPO DE PISO BLANCO SUP PES 60X50CM (104)
10786,,4545,CINTA DE PAPEL 18MM X 40MTS **
11685,,2956,CINTA EMBALAJE TRANSPARENTE 48MM X 100 MTS (36UXB) **
,,2932,CIPERCYGON INSECTICIDA CONCENTRADO 70CC CYGON HOGAR **
11537,,1234,CLARIFY POOLS (CLARIFICANTE DE AGUA) X 5 LTS (3UXB) **
